"filename", "language", "JSON", "Dart", "Markdown", "YAML", "C++", "Swift", "HTML", "Properties", "XML", "Groovy", "kotlin", "comment", "blank", "total"
"f:\FlutterProjects\wallpaper_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"f:\FlutterProjects\wallpaper_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 13, 64
"f:\FlutterProjects\wallpaper_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"f:\FlutterProjects\wallpaper_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 11, 1, 42
"f:\FlutterProjects\wallpaper_app\android\app\src\main\kotlin\com\example\wallpaper_app\MainActivity.kt", "kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\FlutterProjects\wallpaper_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\FlutterProjects\wallpaper_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"f:\FlutterProjects\wallpaper_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"f:\FlutterProjects\wallpaper_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"f:\FlutterProjects\wallpaper_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"f:\FlutterProjects\wallpaper_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"f:\FlutterProjects\wallpaper_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\FlutterProjects\wallpaper_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"f:\FlutterProjects\wallpaper_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"f:\FlutterProjects\wallpaper_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"f:\FlutterProjects\wallpaper_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\FlutterProjects\wallpaper_app\lib\blocs\blocs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"f:\FlutterProjects\wallpaper_app\lib\main.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"f:\FlutterProjects\wallpaper_app\lib\models\collection.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 80
"f:\FlutterProjects\wallpaper_app\lib\models\config.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 90
"f:\FlutterProjects\wallpaper_app\lib\models\link.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"f:\FlutterProjects\wallpaper_app\lib\models\models.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\FlutterProjects\wallpaper_app\lib\models\photo.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 143
"f:\FlutterProjects\wallpaper_app\lib\models\profileimage.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"f:\FlutterProjects\wallpaper_app\lib\models\search_query_collection.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"f:\FlutterProjects\wallpaper_app\lib\models\search_query_photo.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"f:\FlutterProjects\wallpaper_app\lib\models\tags.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"f:\FlutterProjects\wallpaper_app\lib\models\topic.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 68
"f:\FlutterProjects\wallpaper_app\lib\models\urls.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"f:\FlutterProjects\wallpaper_app\lib\models\user.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 6, 101
"f:\FlutterProjects\wallpaper_app\lib\screens\best_of_screen.dart", "Dart", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 20, 318
"f:\FlutterProjects\wallpaper_app\lib\screens\collection_screen.dart", "Dart", 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 17, 462
"f:\FlutterProjects\wallpaper_app\lib\screens\explore_screen.dart", "Dart", 0, 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 26, 651
"f:\FlutterProjects\wallpaper_app\lib\screens\favorite_screen.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"f:\FlutterProjects\wallpaper_app\lib\screens\home_screens.dart", "Dart", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 12, 268
"f:\FlutterProjects\wallpaper_app\lib\screens\main_screen.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 99
"f:\FlutterProjects\wallpaper_app\lib\screens\photo_screen.dart", "Dart", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 209
"f:\FlutterProjects\wallpaper_app\lib\screens\screens.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"f:\FlutterProjects\wallpaper_app\lib\screens\search_screen.dart", "Dart", 0, 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 32, 643
"f:\FlutterProjects\wallpaper_app\lib\screens\settings_screen.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"f:\FlutterProjects\wallpaper_app\lib\screens\topics_screen.dart", "Dart", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 18, 442
"f:\FlutterProjects\wallpaper_app\lib\utils\api.dart", "Dart", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 149
"f:\FlutterProjects\wallpaper_app\lib\utils\utils.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 9, 110
"f:\FlutterProjects\wallpaper_app\lib\widgets\best_of_widget.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 89
"f:\FlutterProjects\wallpaper_app\lib\widgets\border_icon.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"f:\FlutterProjects\wallpaper_app\lib\widgets\build_topics.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 64
"f:\FlutterProjects\wallpaper_app\lib\widgets\description_info.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 69
"f:\FlutterProjects\wallpaper_app\lib\widgets\detail_button.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 56
"f:\FlutterProjects\wallpaper_app\lib\widgets\detail_info_item.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"f:\FlutterProjects\wallpaper_app\lib\widgets\detail_photo.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 98
"f:\FlutterProjects\wallpaper_app\lib\widgets\information_tile.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"f:\FlutterProjects\wallpaper_app\lib\widgets\keep_alive_page.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"f:\FlutterProjects\wallpaper_app\lib\widgets\loading_animation.dart", "Dart", 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 375
"f:\FlutterProjects\wallpaper_app\lib\widgets\photo_carousel.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 124
"f:\FlutterProjects\wallpaper_app\lib\widgets\tags_info.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 6, 152
"f:\FlutterProjects\wallpaper_app\lib\widgets\top_bar_explore.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\FlutterProjects\wallpaper_app\lib\widgets\user_detail_photo.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 107
"f:\FlutterProjects\wallpaper_app\lib\widgets\widgets.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\FlutterProjects\wallpaper_app\pubspec.yaml", "YAML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 40, 15, 128
"f:\FlutterProjects\wallpaper_app\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"f:\FlutterProjects\wallpaper_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 14, 6, 99
"f:\FlutterProjects\wallpaper_app\web\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 168, 4310, 13, 73, 1, 12, 79, 9, 125, 81, 4, 939, 407, 6221